seed,method,success,t_goal,first_goal_step,min_clr,viols,plen,energy_cmd,energy_exec
0,van,0.0,201.0,16.0,-0.02305847406387329,9.0,5.6009245313307385,3605.166259765625,1312.875732421875
0,rc,1.0,18.0,18.0,0.02198237180709839,0.0,3.875587933325412,1312.910400390625,555.002197265625
1,van,0.0,201.0,17.0,-0.0007473677396774292,1.0,5.281568171314671,3166.640380859375,1169.727294921875
1,rc,1.0,18.0,18.0,0.028523623943328857,0.0,3.7723318789140023,1295.234375,528.7169189453125
2,van,0.0,201.0,16.0,-0.01924532651901245,5.0,5.2034373524610835,3157.439697265625,1164.467041015625
2,rc,1.0,17.0,17.0,0.008641541004180908,0.0,4.041813910018205,1447.291748046875,617.18408203125
3,van,1.0,17.0,17.0,0.003837481141090393,0.0,5.413832987730235,3432.703369140625,1273.914794921875
3,rc,1.0,18.0,18.0,0.02130134403705597,0.0,3.8947993214459995,1371.1898193359375,581.697509765625
4,van,0.0,201.0,17.0,-0.007868960499763489,3.0,5.3407986170481365,3322.54638671875,1232.12841796875
4,rc,1.0,18.0,18.0,0.008999541401863098,0.0,4.080309630579225,1451.590576171875,614.1217041015625
5,van,1.0,17.0,17.0,0.006579980254173279,0.0,5.100630106458322,3076.0087890625,1132.9442138671875
5,rc,1.0,18.0,18.0,0.019039496779441833,0.0,3.897200509345808,1351.545166015625,569.8863525390625
6,van,0.0,201.0,16.0,-0.04130030423402786,11.0,5.620768268639106,3586.7099609375,1302.7540283203125
6,rc,0.0,201.0,17.0,-0.0003703683614730835,1.0,4.2345772032687865,1649.93603515625,668.5191040039062
7,van,0.0,201.0,17.0,-0.012727528810501099,4.0,5.633920560259346,3539.4443359375,1302.662109375
7,rc,1.0,18.0,18.0,0.0135468989610672,0.0,3.9600729839460347,1393.145751953125,580.603515625
8,van,0.0,201.0,55.0,-0.020069822669029236,6.0,5.425906886894859,3368.98388671875,1253.88330078125
8,rc,1.0,18.0,18.0,0.027744024991989136,0.0,3.79693367174523,1313.3035888671875,534.1172485351562
9,van,0.0,201.0,16.0,-0.041787564754486084,13.0,5.735774445425229,3800.821044921875,1342.82666015625
9,rc,0.0,201.0,17.0,-0.012590795755386353,4.0,4.307083042425928,1667.71240234375,686.218017578125
10,van,0.0,201.0,17.0,-0.011786162853240967,4.0,5.32786880370453,3269.123779296875,1186.2012939453125
10,rc,1.0,18.0,18.0,0.018150299787521362,0.0,3.82332749529285,1324.569580078125,540.8609008789062
11,van,1.0,17.0,17.0,0.028203025460243225,0.0,5.10006415845984,3068.43603515625,1116.5751953125
11,rc,1.0,19.0,19.0,0.04999999701976776,0.0,3.4962211582473506,1182.22265625,480.01043701171875
12,van,0.0,201.0,17.0,-0.025449424982070923,9.0,5.5722876897902465,3522.002685546875,1311.93701171875
12,rc,1.0,18.0,18.0,0.016472890973091125,0.0,3.8682294706870364,1325.6494140625,565.482666015625
13,van,0.0,201.0,16.0,-0.025208421051502228,6.0,5.472673098932208,3427.045166015625,1244.96142578125
13,rc,1.0,18.0,18.0,0.024336770176887512,0.0,3.727844889232716,1279.1884765625,525.15771484375
14,van,0.0,201.0,16.0,-0.015417680144309998,9.0,5.786282251039545,3922.30810546875,1490.3857421875
14,rc,1.0,17.0,17.0,0.011623144149780273,0.0,4.05961393339059,1459.62939453125,622.0523681640625
15,van,1.0,17.0,17.0,0.0074615478515625,0.0,5.430266527671986,3311.963134765625,1204.2119140625
15,rc,1.0,18.0,18.0,0.019595354795455933,0.0,3.8546589991492635,1370.84130859375,576.8445434570312
16,van,1.0,17.0,17.0,0.009916633367538452,0.0,5.264828820145812,3195.30615234375,1166.343017578125
16,rc,1.0,18.0,18.0,0.01592637598514557,0.0,3.9219835661560953,1413.4449462890625,590.150146484375
17,van,0.0,201.0,17.0,-0.0006319582462310791,1.0,5.327437402391343,3218.234375,1189.423828125
17,rc,1.0,18.0,18.0,0.009789764881134033,0.0,4.041040121922141,1452.384521484375,621.1024169921875
18,van,0.0,201.0,16.0,-0.009613677859306335,3.0,5.429929057497408,3429.4267578125,1279.168701171875
18,rc,1.0,17.0,17.0,0.011120438575744629,0.0,4.182389162586522,1560.1182861328125,665.0845336914062
19,van,0.0,201.0,17.0,-0.026506252586841583,12.0,5.759162172333631,3762.052001953125,1374.4771728515625
19,rc,1.0,18.0,18.0,0.015624314546585083,0.0,3.90291364131917,1403.085693359375,584.3085327148438
20,van,0.0,201.0,17.0,-0.0024726390838623047,2.0,5.425214718649617,3376.37158203125,1219.602294921875
20,rc,1.0,18.0,18.0,0.021938174962997437,0.0,3.7003707558520436,1269.890869140625,518.0466918945312
21,van,0.0,201.0,17.0,-0.006623521447181702,3.0,5.368242249426909,3305.5537109375,1233.330078125
21,rc,1.0,18.0,18.0,0.01696115732192993,0.0,3.9832135303800533,1491.7525634765625,621.7457885742188
22,van,0.0,201.0,17.0,-0.0011305809020996094,2.0,5.345215861389559,3246.70556640625,1192.17236328125
22,rc,1.0,18.0,18.0,0.017161905765533447,0.0,3.957843932568773,1379.276123046875,578.395751953125
23,van,0.0,201.0,17.0,-0.0015410035848617554,2.0,5.197436879918852,3054.22998046875,1132.682861328125
23,rc,1.0,18.0,18.0,0.018298283219337463,0.0,3.955105905485275,1387.2386474609375,586.744140625
24,van,0.0,201.0,17.0,-0.006894290447235107,6.0,5.557447316453121,3703.03759765625,1368.0836181640625
24,rc,1.0,18.0,18.0,0.025191977620124817,0.0,3.8022185488494524,1324.7811279296875,556.8250732421875
25,van,1.0,17.0,17.0,0.004523217678070068,0.0,5.307359944838151,3251.326171875,1195.0504150390625
25,rc,1.0,18.0,18.0,0.012883692979812622,0.0,3.967838962485976,1426.123291015625,593.2792358398438
26,van,0.0,201.0,55.0,-0.012449726462364197,4.0,5.383559003493781,3378.74560546875,1238.951171875
26,rc,1.0,18.0,18.0,0.01904374361038208,0.0,3.9728178060784427,1378.69921875,573.5651245117188
27,van,1.0,54.0,54.0,0.025620028376579285,0.0,5.185866410876739,3195.6875,1177.1248779296875
27,rc,1.0,18.0,18.0,0.02983050048351288,0.0,3.7678671252120366,1325.65087890625,557.8602905273438
28,van,1.0,16.0,16.0,0.0058282166719436646,0.0,5.171934056762856,3167.45654296875,1166.7596435546875
28,rc,1.0,18.0,18.0,0.04122306406497955,0.0,3.5171140252648763,1161.679443359375,455.5066223144531
29,van,1.0,17.0,17.0,0.02021968364715576,0.0,4.9930730758197175,2913.79736328125,1083.9989013671875
29,rc,1.0,18.0,18.0,0.024951711297035217,0.0,3.815242212561414,1326.900634765625,555.8628540039062
