seed,method,success,t_goal,first_goal_step,min_clr,viols,plen,energy_cmd,energy_exec
0,van,0.0,201.0,17.0,-6.483552371455703e-06,1.0,5.658208522563358,3568.6455078125,1303.9822998046875
0,rc,1.0,18.0,18.0,0.01715407585695697,0.0,3.8756542370226295,1372.6026611328125,560.9251708984375
1,van,0.0,201.0,16.0,-0.04884654161293969,15.0,5.956448920503341,3901.658447265625,1418.8265380859375
1,rc,1.0,17.0,17.0,0.009377703948725225,0.0,4.026932760416123,1476.882080078125,608.3624267578125
2,van,0.0,201.0,17.0,-0.021260569677800434,10.0,5.702979285367111,3709.71435546875,1373.17431640625
2,rc,1.0,18.0,18.0,0.017520998604145882,0.0,3.925648106866069,1402.1094970703125,593.1497802734375
3,van,1.0,16.0,16.0,0.024896016134719368,0.0,4.898765460863236,2824.529541015625,1018.7346801757812
3,rc,1.0,17.0,17.0,0.032945258473136785,0.0,3.582063487292336,1227.896240234375,487.933837890625
4,van,0.0,201.0,17.0,-0.008716164323528397,4.0,5.495841837567501,3457.97314453125,1281.1806640625
4,rc,1.0,18.0,18.0,0.022604962880355017,0.0,3.855123836993343,1351.3660888671875,566.1563110351562
5,van,0.0,201.0,16.0,-0.046195248704362285,13.0,5.86538361278588,3970.9384765625,1438.561767578125
5,rc,1.0,17.0,17.0,0.00015286949159576402,0.0,4.155892953853646,1576.8189697265625,642.8402709960938
6,van,0.0,201.0,16.0,-0.02096727469745424,10.0,5.9146885831848515,3917.17333984375,1418.4549560546875
6,rc,1.0,17.0,17.0,0.008880755507624266,0.0,4.095379777369848,1519.789794921875,632.2627563476562
7,van,1.0,17.0,17.0,0.021900385585255033,0.0,5.123245229227283,3194.71826171875,1155.253662109375
7,rc,1.0,18.0,18.0,0.028984283216691942,0.0,3.6782568884859215,1206.3780517578125,502.29290771484375
8,van,1.0,17.0,17.0,0.01934197330475776,0.0,5.207446635761279,3199.2880859375,1179.2442626953125
8,rc,1.0,18.0,18.0,0.02772638935930702,0.0,3.8088286723292812,1288.3447265625,534.3377685546875
9,van,1.0,17.0,17.0,0.014355793210930112,0.0,5.076913096768631,3123.7919921875,1140.2821044921875
9,rc,1.0,18.0,18.0,0.027643765859429265,0.0,3.683959204007195,1257.5382080078125,520.5445556640625
10,van,0.0,201.0,17.0,-0.003166597279496669,2.0,5.520684918853151,3482.709228515625,1280.85595703125
10,rc,1.0,18.0,18.0,0.028651384611447145,0.0,3.7158816496633538,1261.1241455078125,520.0870971679688
11,van,1.0,17.0,17.0,0.000629136365741384,0.0,5.353858197159777,3339.6455078125,1223.0032958984375
11,rc,1.0,18.0,18.0,0.019900144633963723,0.0,3.8772341041439677,1360.78173828125,567.607666015625
12,van,1.0,17.0,17.0,0.008554432223218611,0.0,4.954654748481598,2901.73486328125,1055.175537109375
12,rc,1.0,18.0,18.0,0.008463696506112617,0.0,4.0123352920942565,1424.9703369140625,586.248291015625
13,van,0.0,201.0,17.0,-0.00088295877312769,1.0,5.20981070383411,3133.01806640625,1149.355712890625
13,rc,1.0,18.0,18.0,0.01827136829584819,0.0,3.8373200589602057,1332.780029296875,567.9998779296875
14,van,0.0,201.0,17.0,-0.004907447314626251,2.0,5.279010962676614,3200.88330078125,1208.8369140625
14,rc,1.0,18.0,18.0,0.014253084932443122,0.0,3.89056237036878,1353.072265625,561.43994140625
15,van,0.0,201.0,16.0,-0.008046317579737922,3.0,5.192244635400757,3197.249755859375,1144.31396484375
15,rc,1.0,17.0,17.0,0.013774918528559055,0.0,3.96196078846872,1423.212158203125,586.127685546875
16,van,1.0,17.0,17.0,0.0011316563195185314,0.0,5.258497740641513,3217.197998046875,1199.384521484375
16,rc,1.0,18.0,18.0,0.014084272423023514,0.0,4.0604337480089345,1521.2427978515625,628.3546142578125
17,van,1.0,17.0,17.0,0.008776512510387996,0.0,5.17877055165911,3061.113037109375,1146.7987060546875
17,rc,1.0,18.0,18.0,0.01697363276985689,0.0,3.9094851999740206,1375.5394287109375,572.4972534179688
18,van,1.0,17.0,17.0,0.010905911343732672,0.0,5.304454019913484,3337.648193359375,1200.77685546875
18,rc,1.0,18.0,18.0,0.024236957531871356,0.0,3.822069421411765,1352.87109375,549.8499755859375
19,van,0.0,201.0,16.0,-0.012148774477776486,6.0,5.566801741864095,3798.224609375,1368.1793212890625
19,rc,1.0,17.0,17.0,0.006186645443352484,0.0,4.149063451666758,1653.3770751953125,681.09228515625
20,van,0.0,201.0,17.0,-0.018314378834576706,8.0,5.679828449204043,3675.317138671875,1352.3367919921875
20,rc,1.0,18.0,18.0,0.023189869465736562,0.0,3.6916177340726053,1231.89208984375,504.38018798828125
21,van,0.0,201.0,17.0,-0.005147476462104894,3.0,5.607922597989139,3617.86767578125,1328.6014404296875
21,rc,1.0,18.0,18.0,0.016611268107388666,0.0,3.9231271371253618,1406.292724609375,580.5850830078125
22,van,0.0,201.0,17.0,-0.010426708643948956,4.0,5.414319462088923,3378.137939453125,1223.6007080078125
22,rc,1.0,18.0,18.0,0.017687093184751368,0.0,3.959517592454794,1404.3006591796875,586.39306640625
23,van,0.0,201.0,17.0,-0.032168360712742594,11.0,5.809055800076727,3776.150634765625,1378.332763671875
23,rc,1.0,17.0,17.0,0.00876717478603109,0.0,4.138325343799021,1535.7843017578125,652.72900390625
24,van,0.0,201.0,17.0,-0.006112219290038856,3.0,5.292731538467281,3357.775390625,1228.1358642578125
24,rc,1.0,18.0,18.0,0.022358468663101816,0.0,3.9308436563767697,1390.3319091796875,576.1624145507812
25,van,0.0,201.0,55.0,-0.023527224273459907,11.0,5.9780622682922075,3990.224609375,1463.10107421875
25,rc,1.0,17.0,17.0,0.005972942050875313,0.0,4.094298720187583,1527.3900146484375,643.3712158203125
26,van,0.0,201.0,16.0,-0.06847174737481272,16.0,5.802004863698273,3709.609375,1357.4813232421875
26,rc,1.0,18.0,18.0,0.017745000834736374,0.0,3.8871224418035872,1348.93994140625,564.279541015625
27,van,0.0,201.0,17.0,-0.004065982929998435,2.0,5.359872774241374,3318.180908203125,1190.1593017578125
27,rc,1.0,18.0,18.0,0.013369682550201656,0.0,3.9526954291793754,1370.271484375,569.5697021484375
28,van,0.0,201.0,16.0,-0.020314687903618928,10.0,5.538016594171974,3506.9765625,1256.85693359375
28,rc,1.0,17.0,17.0,0.008269910937678898,0.0,4.00593115284551,1457.714599609375,603.82861328125
29,van,1.0,17.0,17.0,0.016190562676010045,0.0,5.122074614399677,3035.331298828125,1109.775634765625
29,rc,1.0,18.0,18.0,0.02405790108546385,0.0,3.817693863844749,1294.50146484375,542.9017944335938
30,van,1.0,17.0,17.0,0.003407204751709497,0.0,5.338735089051836,3319.744140625,1192.029052734375
30,rc,1.0,18.0,18.0,0.022196151284562288,0.0,3.8261083991612335,1312.66455078125,542.6161499023438
31,van,0.0,201.0,17.0,-0.0010026136093154447,1.0,5.417480962518845,3428.17333984375,1234.42822265625
31,rc,1.0,18.0,18.0,0.023279643195598138,0.0,3.8516946969010553,1419.74169921875,573.1199951171875
32,van,0.0,201.0,17.0,-0.013977646045674141,4.0,5.3565929178716045,3289.1181640625,1222.8516845703125
32,rc,1.0,18.0,18.0,0.00900207559554192,0.0,4.089358045042458,1437.4287109375,612.3006591796875
33,van,0.0,201.0,17.0,-0.003113403631507583,2.0,5.395266362625641,3370.701416015625,1218.07080078125
33,rc,1.0,17.0,17.0,0.011255484042723335,0.0,4.00926774833141,1457.9239501953125,593.366943359375
34,van,0.0,201.0,16.0,-0.02544663852725161,6.0,5.118629690543743,3058.6728515625,1135.9130859375
34,rc,1.0,18.0,18.0,0.02184185827348259,0.0,3.7313982255488884,1286.8258056640625,517.2948608398438
35,van,0.0,201.0,16.0,-0.032288220470445425,11.0,5.93056256108052,3939.0380859375,1442.650390625
35,rc,1.0,18.0,18.0,0.024920341554516362,0.0,3.7437762225851925,1239.6116943359375,516.6671142578125
36,van,0.0,201.0,17.0,-0.006982047155470378,3.0,5.304654882454496,3240.155029296875,1191.035888671875
36,rc,1.0,18.0,18.0,0.01692349157350065,0.0,3.881060044643868,1382.979736328125,573.308349609375
37,van,1.0,16.0,16.0,0.0023062817419320925,0.0,5.2139515480298835,3111.364013671875,1133.9166259765625
37,rc,1.0,17.0,17.0,0.010692940132938755,0.0,4.07292876672067,1506.96142578125,608.5097045898438
38,van,1.0,17.0,17.0,0.003949879762469133,0.0,5.370304107111463,3285.87158203125,1197.8946533203125
38,rc,1.0,18.0,18.0,0.01137451534572742,0.0,3.951354170559098,1418.9744873046875,572.9009399414062
39,van,0.0,201.0,16.0,-0.006918831108282952,3.0,5.197118649990934,3117.78955078125,1124.0050048828125
39,rc,1.0,18.0,18.0,0.025081775054974442,0.0,3.7358282966727856,1258.045654296875,521.567138671875
40,van,0.0,201.0,17.0,-0.020667875456605395,11.0,5.710845726702326,3688.4541015625,1362.3626708984375
40,rc,1.0,18.0,18.0,0.006209263312089597,0.0,4.128458860121403,1527.001708984375,640.9346313476562
41,van,0.0,201.0,16.0,-0.027226904246973396,8.0,5.662252584332014,3679.8583984375,1345.042236328125
41,rc,1.0,18.0,18.0,0.007855754085532962,0.0,4.103308104123251,1525.41015625,636.7212524414062
42,van,0.0,201.0,17.0,-0.016508688521314013,4.0,5.486548172301196,3477.74560546875,1265.34716796875
42,rc,1.0,18.0,18.0,0.01135096948525452,0.0,3.878423788295393,1376.5897216796875,562.8341064453125
43,van,1.0,17.0,17.0,0.0055159269023579705,0.0,5.28695180020749,3242.220458984375,1169.57861328125
43,rc,1.0,18.0,18.0,0.02192999948050356,0.0,3.733033163225708,1291.8206787109375,539.2264404296875
44,van,0.0,201.0,16.0,-0.024526999487474416,6.0,5.657264190351073,3617.7626953125,1315.7281494140625
44,rc,1.0,18.0,18.0,0.021230543421137477,0.0,3.842069866494574,1311.435791015625,545.13623046875
