seed,method,success,t_goal,min_clearance,viols,max_penetration,path_len
0,vanilla,1,250,0.22667038440704346,0,0.0,15.294748306274414
0,adaptive,1,249,0.1454017162322998,0,0.0,16.130205154418945
1,vanilla,0,251,-0.05144476890563965,11,0.05144476890563965,16.394676208496094
1,adaptive,1,258,0.12394118309020996,0,0.0,15.983243942260742
2,vanilla,1,239,0.09398353099822998,0,0.0,15.193116188049316
2,adaptive,1,241,0.224623441696167,0,0.0,16.22520637512207
3,vanilla,1,252,0.08428776264190674,0,0.0,16.407726287841797
3,adaptive,1,242,0.026694416999816895,0,0.0,16.77382469177246
4,vanilla,1,202,0.08342301845550537,0,0.0,16.302982330322266
4,adaptive,1,260,0.1641932725906372,0,0.0,16.195411682128906
5,vanilla,0,259,-0.09158289432525635,14,0.09158289432525635,16.911361694335938
5,adaptive,1,252,0.12344419956207275,0,0.0,16.085773468017578
6,vanilla,0,200,-0.14945805072784424,19,0.14945805072784424,16.386699676513672
6,adaptive,1,285,0.17631912231445312,0,0.0,17.370203018188477
7,vanilla,1,247,0.08809483051300049,0,0.0,16.159875869750977
7,adaptive,1,256,0.006282806396484375,0,0.0,17.697017669677734
8,vanilla,1,205,0.16525304317474365,0,0.0,15.293232917785645
8,adaptive,1,259,0.1833564043045044,0,0.0,16.519939422607422
9,vanilla,1,247,0.004386425018310547,0,0.0,16.21780776977539
9,adaptive,1,257,0.11404085159301758,0,0.0,16.717422485351562
10,vanilla,0,241,-0.0931323766708374,15,0.0931323766708374,16.43012237548828
10,adaptive,1,241,0.05784571170806885,0,0.0,17.117435455322266
11,vanilla,1,213,0.19309449195861816,0,0.0,15.543364524841309
11,adaptive,1,239,0.12981033325195312,0,0.0,15.97205924987793
12,vanilla,0,239,-0.009752511978149414,3,0.009752511978149414,14.966941833496094
12,adaptive,1,245,0.0506436824798584,0,0.0,17.060138702392578
13,vanilla,0,254,-0.11482131481170654,16,0.11482131481170654,17.09002113342285
13,adaptive,1,235,0.2772328853607178,0,0.0,15.73218822479248
14,vanilla,0,261,-0.04612410068511963,9,0.04612410068511963,16.375030517578125
14,adaptive,1,257,0.17921340465545654,0,0.0,15.766623497009277
15,vanilla,1,251,0.03647005558013916,0,0.0,16.11214828491211
15,adaptive,1,253,0.07820487022399902,0,0.0,16.17791748046875
16,vanilla,1,241,0.17920053005218506,0,0.0,15.371973037719727
16,adaptive,1,245,0.015242338180541992,0,0.0,16.509450912475586
17,vanilla,1,198,0.06610894203186035,0,0.0,15.305076599121094
17,adaptive,1,243,0.024801015853881836,0,0.0,17.201187133789062
18,vanilla,1,193,0.09112751483917236,0,0.0,15.20829963684082
18,adaptive,1,235,0.18632590770721436,0,0.0,16.43525505065918
19,vanilla,1,236,0.14966511726379395,0,0.0,14.59946060180664
19,adaptive,1,246,0.012938976287841797,0,0.0,17.251558303833008
20,vanilla,1,246,0.04172408580780029,0,0.0,16.185226440429688
20,adaptive,1,238,0.22061049938201904,0,0.0,16.253963470458984
21,vanilla,0,218,-0.08171117305755615,21,0.08171117305755615,13.026369094848633
21,adaptive,1,243,0.193353533744812,0,0.0,16.28592872619629
22,vanilla,1,237,0.08297908306121826,0,0.0,14.994708061218262
22,adaptive,1,276,0.14265024662017822,0,0.0,17.0698299407959
23,vanilla,0,246,-0.11225426197052002,15,0.11225426197052002,16.61212921142578
23,adaptive,1,250,0.18642961978912354,0,0.0,16.184967041015625
24,vanilla,1,202,0.2751734256744385,0,0.0,14.294504165649414
24,adaptive,1,265,0.16752278804779053,0,0.0,17.013126373291016
25,vanilla,1,200,0.057861924171447754,0,0.0,16.79781723022461
25,adaptive,0,266,-0.01970994472503662,5,0.01970994472503662,17.885555267333984
26,vanilla,1,268,0.1442173719406128,0,0.0,16.42345428466797
26,adaptive,1,270,0.06729483604431152,0,0.0,17.309106826782227
27,vanilla,0,254,-0.1007469892501831,15,0.1007469892501831,16.967037200927734
27,adaptive,1,239,0.0453031063079834,0,0.0,15.921960830688477
28,vanilla,1,243,0.17974770069122314,0,0.0,15.631377220153809
28,adaptive,1,252,0.10467374324798584,0,0.0,17.034942626953125
29,vanilla,1,248,0.059938788414001465,0,0.0,16.642234802246094
29,adaptive,1,245,0.21790039539337158,0,0.0,16.017065048217773
30,vanilla,0,195,-0.028691649436950684,8,0.028691649436950684,15.728182792663574
30,adaptive,1,260,0.0984964370727539,0,0.0,17.37308120727539
31,vanilla,0,267,-0.08523035049438477,12,0.08523035049438477,17.370534896850586
31,adaptive,1,241,0.15411055088043213,0,0.0,15.638411521911621
32,vanilla,1,239,0.12865948677062988,0,0.0,15.753337860107422
32,adaptive,0,253,-0.09557914733886719,14,0.09557914733886719,16.970563888549805
33,vanilla,0,246,-0.05465900897979736,11,0.05465900897979736,16.70684242248535
33,adaptive,1,244,0.2522174119949341,0,0.0,16.234752655029297
34,vanilla,0,248,-0.09720289707183838,15,0.09720289707183838,16.05668067932129
